run      date         beamline             CC             Q1       Q2       Q3       Q4       Q5       Q6       Q7       Q8       Q9       D1       D2       DS  
9883     2017-10-07   "3-140+M3-Test3"     2017-02-6     49.0     62.0     43.0    135.0    181.0    120.0    114.0    173.0    148.0    146.0     72.0    327.0
10243    2017-11-24   "3-140+M3-Test3"     2017-02-6     49.0     62.0     43.0    135.0    181.0    120.0    114.0    173.0    148.0    146.0     72.0    327.0
10314    2017-11-30   "3-140+M3-Test4"     2017-02-6     49.0     62.0     43.0    149.0    185.0    108.0     87.0    197.0    156.0    147.0     72.0    326.0
10508    2017-12-13   "3-140+M3-Test4"     2017-02-6     49.0     62.0     43.0    149.0    185.0    108.0     87.0    197.0    156.0    147.0     72.0    326.0

10317    2017-11-30   "4-140+M3-Test1"     2017-02-6     49.0     62.0     43.0    135.0    181.0    120.0    115.0    173.0    148.0    151.0     72.0    326.0
10504    2017-12-13   "4-140+M3-Test1"     2017-02-6     49.0     62.0     43.0    135.0    181.0    120.0    115.0    173.0    148.0    151.0     72.0    326.0

9885     2017-10-07   "6-140+M3-Test2"     2017-02-6     50.0     63.0     43.0    134.0    180.0    119.0    114.0    172.0    147.0    153.0     76.0    324.0
10245    2017-11-24   "6-140+M3-Test2"     2017-02-6     50.0     63.0     43.0    134.0    180.0    119.0    114.0    172.0    147.0    153.0     76.0    324.0
10318    2017-11-30   "6-140+M3-Test2"     2017-02-6     50.0     63.0     43.0    134.0    180.0    119.0    114.0    172.0    147.0    153.0     76.0    324.0
10509    2017-12-14   "6-140+M3-Test2"     2017-02-6     50.0     63.0     43.0    134.0    180.0    119.0    114.0    172.0    147.0    153.0     76.0    324.0

9886     2017-10-07   "10-140+M3-Test4"    2017-02-6     59.0     73.0     51.0    156.0    210.0    139.0    103.0    155.0    132.0    174.0     87.0    388.0
10246    2017-11-24   "10-140+M3-Test4"    2017-02-6     59.0     73.0     51.0    156.0    210.0    139.0    103.0    155.0    132.0    174.0     87.0    387.0
10319    2017-11-30   "10-140+M3-Test4"    2017-02-6     59.0     73.0     51.0    156.0    210.0    139.0    103.0    155.0    132.0    174.0     87.0    388.0
